CPIJ801599	supercont3.1666:44514-46540 (+) 	CPIJ019404
CPIJ801601	supercont3.1666:46892-51916 (-) 	CPIJ019405
CPIJ801600	supercont3.1666:52870-53720 (-) 	CPIJ019406
CPIJ801751	supercont3.276:406439-452744 (+)	CPIJ010108
CPIJ801753	supercont3.276:497704-499732 (-)	CPIJ010112
CPIJ801754	supercont3.276:505520-506745 (+)	CPIJ010114
CPIJ801755	supercont3.276:506813-507886 (-)	NEW  
CPIJ802656	supercont3.1629:24975-26282 (+) 	NEW  
CPIJ802652	supercont3.1629:33802-35097 (-) 	NEW  
CPIJ800267	supercont3.247:428421-434194 (-)	CPIJ009468  
CPIJ800248	supercont3.247:463039-464940 (+)	CPIJ009473  
CPIJ800247	supercont3.247:465142-467020 (+)	CPIJ009474  
CPIJ800250	supercont3.247:472229-479499 (+)	CPIJ009475  
CPIJ800251	supercont3.247:482630-490695 (-)	CPIJ009476  
CPIJ800249	supercont3.247:523461-531371 (+)	CPIJ009478  
CPIJ800204	supercont3.1835:12941-14551 (-) 	CPIJ019751  
CPIJ802108	supercont3.5:788321-798796 (+)  	CPIJ000474  
CPIJ802109	supercont3.5:821179-823685 (+)  	CPIJ000477  
CPIJ802110	supercont3.5:824279-832253 (-)  	CPIJ000478  
CPIJ802111	supercont3.5:933288-933685 (-)  	CPIJ000479  
CPIJ802077	supercont3.5:1053038-1056591 (-)	CPIJ000481  
CPIJ802072	supercont3.5:1081696-1092454 (+)	CPIJ000482  
CPIJ802078	supercont3.5:1103355-1117304 (-)	CPIJ000483  
CPIJ802079	supercont3.5:1135787-1136585 (-)	CPIJ000484  
CPIJ802071	supercont3.5:1141774-1151713 (+)	CPIJ000485  
CPIJ802081	supercont3.5:1171629-1212084 (-)	CPIJ000487  
CPIJ802075	supercont3.5:1214690-1215671 (+)	CPIJ000488  
CPIJ802074	supercont3.5:1218616-1219437 (+)	CPIJ000489  
CPIJ802073	supercont3.5:1222496-1223265 (+)	CPIJ000490  
CPIJ802080	supercont3.5:1223993-1225153 (-)	CPIJ000491  
CPIJ802076	supercont3.5:1230700-1231672 (+)	CPIJ000492  
CPIJ802090	supercont3.5:1264710-1266891 (+)	CPIJ000493  
CPIJ802093	supercont3.5:1271418-1272199 (-)	CPIJ000494  
CPIJ802089	supercont3.5:1272438-1273227 (+)	CPIJ000495  
CPIJ802088	supercont3.5:1276188-1277067 (+)	CPIJ000496  
CPIJ802085	supercont3.5:1280077-1321578 (+)	CPIJ000497  
CPIJ802086	supercont3.5:1343824-1344446 (+)	CPIJ000499  
CPIJ802087	supercont3.5:1354308-1356715 (+)	CPIJ000500  
CPIJ802091	supercont3.5:1405753-1406841 (+)	CPIJ000503  
CPIJ802094	supercont3.5:1410947-1413430 (-)	CPIJ000504  
CPIJ802092	supercont3.5:1428300-1436649 (+)	CPIJ000505  
CPIJ802098	supercont3.5:1523466-1526269 (+)	CPIJ000509  
CPIJ802103	supercont3.5:1530537-1530920 (-)	CPIJ000510  
CPIJ802102	supercont3.5:1531094-1531900 (-)	CPIJ000511  
CPIJ802101	supercont3.5:1534945-1535593 (-)	CPIJ000512  
CPIJ802097	supercont3.5:1536214-1540763 (+)	CPIJ000513  
CPIJ802100	supercont3.5:1545416-1565200 (-)	CPIJ000514  
CPIJ802099	supercont3.5:1572148-1623135 (-)	CPIJ000515  
CPIJ802096	supercont3.5:1746465-1747352 (+)	CPIJ000519  
CPIJ802105	supercont3.5:1822928-1824783 (-)	CPIJ000520  
CPIJ802104	supercont3.5:1845229-1850851 (+)	CPIJ000521  
CPIJ802106	supercont3.5:1862153-1865593 (-)	CPIJ000524  
CPIJ802107	supercont3.5:1870769-1871557 (-)	CPIJ000525  
CPIJ802517	supercont3.5:2235409-2236884 (+)	CPIJ000541  
CPIJ802518	supercont3.5:2244230-2245687 (+)	CPIJ000542  
