AaegL1.1	AaedL1.2	Change
AAEL000001 AAEL000001 unchanged
AAEL000002 AAEL000002 unchanged
AAEL000003 AAEL000003 unchanged
AAEL000004 AAEL000004 unchanged
AAEL000005 AAEL000005 changed
AAEL000006 AAEL000006 unchanged
AAEL000007 AAEL000007 unchanged
AAEL000008 AAEL000008 unchanged
AAEL000009 AAEL000009 unchanged
AAEL000010 AAEL000010 unchanged
AAEL000011 AAEL000011 unchanged
AAEL000012 AAEL000012 changed
AAEL000013 AAEL000013 unchanged
AAEL000014 AAEL000014 unchanged
AAEL000015 AAEL000015 unchanged
AAEL000016 AAEL000016 unchanged
AAEL000017 AAEL000017 unchanged
AAEL000018 AAEL000018 unchanged
AAEL000019 AAEL000019 unchanged
AAEL000020 AAEL000020 unchanged
AAEL000021 AAEL000021 unchanged
AAEL000022 AAEL000022 unchanged
AAEL000023 AAEL000023 unchanged
AAEL000024 AAEL000024 unchanged
AAEL000025 AAEL000025 unchanged
AAEL000026 AAEL000026 unchanged
AAEL000027 AAEL000027 unchanged
AAEL000028 AAEL000028 changed
AAEL000029 AAEL000029 unchanged
AAEL000030 AAEL000030 unchanged
AAEL000031 AAEL000031 unchanged
AAEL000032 AAEL000032 unchanged
AAEL000033 AAEL000033 unchanged
AAEL000034 AAEL000034 unchanged
AAEL000035 AAEL000035 unchanged
AAEL000036 AAEL000036 unchanged
AAEL000037 AAEL000037 changed
AAEL000038 AAEL000038 changed
AAEL000039 AAEL000039 unchanged
AAEL000040 AAEL000040 unchanged
AAEL000041 AAEL000041 unchanged
AAEL000042 AAEL000042 unchanged
AAEL000043 AAEL000043 unchanged
AAEL000044 AAEL000044 unchanged
AAEL000045 AAEL000045 unchanged
AAEL000046 AAEL000046 unchanged
AAEL000047 AAEL000047 unchanged
AAEL000048 AAEL000048 changed
AAEL000049 AAEL000049 unchanged
AAEL000050 AAEL000050 unchanged
AAEL000051 AAEL000051 unchanged
AAEL000052 AAEL000052 unchanged
AAEL000053 AAEL000053 unchanged
AAEL000054 AAEL000054 unchanged
AAEL000055 AAEL000055 unchanged
AAEL000056 AAEL000056 unchanged
AAEL000057 AAEL000057 changed
AAEL000058 AAEL000058 unchanged
AAEL000059 AAEL000059 changed
AAEL000060 AAEL000060 changed
AAEL000061 AAEL000061 unchanged
AAEL000062 AAEL000062 unchanged
AAEL000063 AAEL000063 unchanged
AAEL000064 AAEL000064 unchanged
AAEL000065 AAEL000065 unchanged
AAEL000066 AAEL000066 unchanged
AAEL000067 AAEL000067 unchanged
AAEL000068 AAEL000068 unchanged
AAEL000069 AAEL000069 unchanged
AAEL000070 AAEL000070 unchanged
AAEL000071 AAEL000071 unchanged
AAEL000072 AAEL000072 unchanged
AAEL000073 AAEL000073 unchanged
AAEL000074 AAEL000074 changed
AAEL000075 AAEL000075 changed
AAEL000076 AAEL000076 unchanged
AAEL000077 AAEL000077 unchanged
AAEL000078 AAEL000078 unchanged
AAEL000079 AAEL000079 unchanged
AAEL000080 AAEL000080 unchanged
AAEL000081 AAEL000081 unchanged
AAEL000082 AAEL000082 changed
AAEL000083 AAEL000083 unchanged
AAEL000084 AAEL000084 unchanged
AAEL000085 AAEL000085 unchanged
AAEL000086 AAEL000086 unchanged
AAEL000087 AAEL000087 unchanged
AAEL000088 AAEL000088 unchanged
AAEL000089 AAEL000089 unchanged
AAEL000090 AAEL000090 unchanged
AAEL000091 AAEL000091 unchanged
AAEL000092 AAEL000092 changed
AAEL000093 AAEL000093 unchanged
AAEL000094 AAEL000094 unchanged
AAEL000095 AAEL000095 unchanged
AAEL000096 AAEL000096 unchanged
AAEL000097 AAEL000097 unchanged
AAEL000098 AAEL000098 unchanged
AAEL000099 AAEL000099 changed
AAEL000100 AAEL000100 unchanged
AAEL000101 AAEL000101 unchanged
AAEL000102 AAEL000102 unchanged
AAEL000103 AAEL000103 unchanged
AAEL000104 AAEL000104 unchanged
AAEL000105 AAEL000105 unchanged
AAEL000106 AAEL000106 unchanged
AAEL000107 AAEL000107 unchanged
AAEL000108 AAEL000108 unchanged
AAEL000109 AAEL000109 unchanged
AAEL000110 AAEL000110 unchanged
AAEL000111 AAEL000111 unchanged
AAEL000112 AAEL000112 unchanged
AAEL000113 AAEL000113 unchanged
AAEL000114 AAEL000114 unchanged
AAEL000115 AAEL000115 unchanged
AAEL000116 AAEL000116 unchanged
AAEL000117 AAEL000117 unchanged
AAEL000118 AAEL000118 unchanged
AAEL000119 AAEL000119 unchanged
AAEL000120 AAEL000120 unchanged
