Old_stable_id New_stable_id Change
AGAP000001 NULL deleted
AGAP000002 AGAP000002 changed
AGAP000003 NULL deleted
AGAP000004 NULL deleted
AGAP000005 AGAP000005 changed
AGAP000006 NULL deleted
AGAP000007 AGAP000007 changed
AGAP000008 AGAP000008 changed
AGAP000009 AGAP000009 changed
AGAP000010 AGAP000010 changed
AGAP000011 AGAP000011 changed
AGAP000012 AGAP000012 changed
AGAP000013 AGAP000013 changed
AGAP000014 AGAP000014 changed
AGAP000015 AGAP000015 changed
AGAP000016 AGAP000016 changed
AGAP000017 AGAP000017 changed
AGAP000018 AGAP000018 changed
AGAP000019 AGAP000019 changed
AGAP000020 AGAP000020 changed
AGAP000021 AGAP000021 changed
AGAP000022 AGAP000022 changed
AGAP000023 AGAP000023 changed
AGAP000024 NULL deleted
AGAP000025 AGAP000025 changed
AGAP000026 NULL deleted
AGAP000027 NULL deleted
AGAP000028 AGAP000028 changed
AGAP000029 AGAP000029 changed
AGAP000030 NULL deleted
AGAP000031 NULL deleted
AGAP000032 AGAP000032 changed
AGAP000033 AGAP000033 changed
AGAP000034 NULL deleted
AGAP000035 AGAP000035 changed
AGAP000036 NULL deleted
AGAP000037 AGAP000037 changed
AGAP000038 AGAP000038 changed
AGAP000039 AGAP000039 changed
AGAP000040 AGAP000040 changed
AGAP000041 AGAP000041 changed
AGAP000042 AGAP000042 changed
AGAP000043 AGAP000043 changed
AGAP000044 AGAP000044 changed
AGAP000045 AGAP000045 changed
AGAP000046 AGAP000046 changed
AGAP000047 AGAP000047 changed
AGAP000048 AGAP000048 changed
AGAP000049 AGAP000049 changed
AGAP000050 NULL deleted
AGAP000051 AGAP000051 changed
AGAP000052 NULL deleted
AGAP000053 AGAP000053 changed
AGAP000054 AGAP000054 changed
AGAP000055 AGAP000055 changed
AGAP000056 AGAP000056 changed
AGAP000057 AGAP000057 changed
AGAP000058 AGAP000058 changed
AGAP000059 NULL deleted
AGAP000060 NULL deleted
AGAP000061 AGAP000061 changed
AGAP000062 AGAP000062 changed
AGAP000063 AGAP000063 changed
AGAP000064 AGAP000064 changed
AGAP000065 AGAP000065 changed
AGAP000066 AGAP000066 changed
AGAP000067 AGAP000067 changed
AGAP000068 AGAP000068 changed
AGAP000069 AGAP000069 changed
AGAP000070 AGAP000070 changed
AGAP000071 AGAP000071 changed
AGAP000072 AGAP000072 changed
AGAP000073 AGAP000073 changed
AGAP000074 AGAP000074 changed
AGAP000075 AGAP000075 changed
AGAP000076 AGAP000076 changed
AGAP000077 NULL deleted
AGAP000078 AGAP000078 changed
AGAP000079 AGAP000079 changed
AGAP000080 AGAP000080 changed
AGAP000081 AGAP000081 changed
AGAP000082 AGAP000082 changed
AGAP000083 AGAP000083 changed
AGAP000084 AGAP000084 changed
AGAP000085 AGAP000085 unchanged
AGAP000086 AGAP000086 changed
AGAP000087 NULL deleted
AGAP000088 AGAP000088 changed
AGAP000089 NULL deleted
AGAP000090 AGAP000090 changed
AGAP000091 AGAP000091 changed
AGAP000092 AGAP000092 changed
AGAP000093 AGAP000093 changed
AGAP000094 AGAP000094 changed
AGAP000095 AGAP000095 changed
AGAP000096 AGAP000096 changed
AGAP000097 AGAP000097 changed
AGAP000098 AGAP000098 changed
AGAP000099 AGAP000099 unchanged
AGAP000100 AGAP000100 unchanged
AGAP000101 NULL deleted
AGAP000102 AGAP000102 changed
AGAP000103 NULL deleted
AGAP000104 AGAP000104 changed
AGAP000105 AGAP000105 changed
AGAP000106 AGAP000106 changed
AGAP000107 AGAP000107 changed
AGAP000108 AGAP000108 changed
AGAP000109 AGAP000109 changed
AGAP000110 AGAP000110 unchanged
AGAP000111 AGAP000111 unchanged
AGAP000112 AGAP000112 changed
AGAP000113 AGAP000113 changed
AGAP000114 AGAP000114 changed
AGAP000115 AGAP000115 unchanged
AGAP000116 AGAP000116 changed
AGAP000117 AGAP000117 changed
AGAP000118 AGAP000118 changed
AGAP000119 AGAP000119 changed
AGAP000120 AGAP000120 changed
AGAP000121 AGAP000121 changed
AGAP000122 NULL deleted
AGAP000123 AGAP000123 changed
AGAP000124 AGAP000124 changed
AGAP000125 NULL deleted
AGAP000126 AGAP000126 changed
AGAP000127 AGAP000127 changed
AGAP000128 AGAP000128 changed
AGAP000129 AGAP000129 changed
AGAP000130 AGAP000130 changed
AGAP000131 AGAP000131 changed
AGAP000132 AGAP000132 unchanged
AGAP000133 AGAP000133 unchanged
AGAP000134 AGAP000134 changed
AGAP000135 AGAP000135 changed
AGAP000136 AGAP000136 changed
AGAP000137 AGAP000137 changed
AGAP000138 AGAP000138 changed
AGAP000139 AGAP000139 changed
AGAP000140 AGAP000140 changed
AGAP000141 AGAP000141 changed
AGAP000142 AGAP000142 changed
AGAP000143 AGAP000143 changed
AGAP000144 AGAP000144 changed
AGAP000145 AGAP000145 changed
AGAP000146 AGAP000146 changed
AGAP000147 AGAP000147 changed
AGAP000148 NULL deleted
AGAP000149 AGAP000149 changed
AGAP000150 AGAP000150 changed
AGAP000151 AGAP000151 changed
AGAP000152 AGAP000152 changed
AGAP000153 AGAP000153 changed
AGAP000154 AGAP000154 changed
AGAP000155 AGAP000155 changed
AGAP000156 AGAP000156 changed
AGAP000157 NULL deleted
AGAP000158 AGAP000158 changed
AGAP000159 AGAP000159 changed
AGAP000160 AGAP000160 changed
AGAP000161 AGAP000161 changed
AGAP000162 AGAP000162 changed
AGAP000163 AGAP000163 unchanged
AGAP000164 AGAP000164 changed
AGAP000165 AGAP000165 changed
AGAP000166 AGAP000166 changed
AGAP000167 AGAP000167 changed
AGAP000168 AGAP000168 changed
AGAP000169 AGAP000169 changed
AGAP000170 AGAP000170 changed
AGAP000171 AGAP000171 changed
AGAP000172 AGAP000172 changed
AGAP000173 AGAP000173 changed
AGAP000174 NULL deleted
AGAP000175 AGAP000175 changed
AGAP000176 AGAP000176 changed
AGAP000177 AGAP000177 unchanged
AGAP000178 AGAP000178 changed
AGAP000179 AGAP000179 changed
AGAP000180 AGAP000180 changed
AGAP000181 AGAP000181 changed
AGAP000182 AGAP000182 unchanged
AGAP000183 AGAP000183 changed
AGAP000184 AGAP000184 changed
AGAP000185 AGAP000185 changed
AGAP000186 AGAP000186 changed
AGAP000187 AGAP000187 changed
AGAP000188 AGAP000188 changed
AGAP000189 AGAP000189 changed
AGAP000190 AGAP000190 changed
AGAP000191 AGAP000191 unchanged
AGAP000192 AGAP000192 unchanged
AGAP000193 AGAP000193 changed
AGAP000194 AGAP000194 changed
AGAP000195 AGAP000195 unchanged
AGAP000196 AGAP000196 changed
AGAP000197 NULL deleted
AGAP000198 AGAP000198 changed
AGAP000199 AGAP000199 changed
AGAP000200 AGAP000200 changed
AGAP000201 AGAP000201 changed
AGAP000202 AGAP000202 unchanged
AGAP000203 AGAP000203 changed
AGAP000204 AGAP000204 unchanged
AGAP000205 AGAP000205 changed
AGAP000206 AGAP000206 changed
AGAP000207 AGAP000207 changed
AGAP000208 AGAP000208 changed
AGAP000209 AGAP000209 changed
AGAP000210 AGAP000210 changed
AGAP000211 AGAP000211 changed
AGAP000212 NULL deleted
AGAP000213 AGAP000213 changed
AGAP000214 AGAP000214 changed
AGAP000215 AGAP000215 changed
AGAP000216 AGAP000216 unchanged
AGAP000217 AGAP000217 changed
AGAP000218 AGAP000218 changed
AGAP000219 AGAP000219 changed
AGAP000220 AGAP000220 changed
AGAP000221 NULL deleted
AGAP000222 AGAP000222 changed
AGAP000223 AGAP000223 changed
AGAP000224 NULL deleted
AGAP000225 AGAP000225 changed
AGAP000226 AGAP000226 unchanged
AGAP000227 NULL deleted
AGAP000228 AGAP000228 changed
AGAP000229 NULL deleted
AGAP000230 AGAP000230 unchanged
AGAP000231 NULL deleted
AGAP000232 AGAP000232 changed
AGAP000233 AGAP000233 changed
AGAP000234 AGAP000234 changed
AGAP000235 AGAP000235 changed
AGAP000236 AGAP000236 changed
AGAP000237 AGAP000237 changed
AGAP000238 AGAP000238 changed
AGAP000239 AGAP000239 changed
AGAP000240 AGAP000240 changed
AGAP000241 AGAP000241 changed
AGAP000242 AGAP000242 changed
AGAP000243 AGAP000243 changed
AGAP000244 AGAP000244 unchanged
AGAP000245 AGAP000245 changed
AGAP000246 AGAP000246 changed
AGAP000247 AGAP000247 changed
AGAP000248 AGAP000248 changed
AGAP000249 AGAP000249 changed
AGAP000250 AGAP000250 changed
AGAP000251 AGAP000251 changed
AGAP000252 AGAP000252 changed
AGAP000253 AGAP000253 changed
AGAP000254 AGAP000254 changed
AGAP000255 AGAP000255 changed
AGAP000256 AGAP000256 changed
AGAP000257 NULL deleted
AGAP000258 AGAP000258 changed
AGAP000259 NULL deleted
AGAP000260 AGAP000260 changed
AGAP000261 AGAP000261 changed
AGAP000261 AGAP000262 changed
AGAP000262 AGAP000262 changed
AGAP000263 NULL deleted
AGAP000264 AGAP000264 changed
AGAP000265 NULL deleted
AGAP000266 AGAP000266 changed
AGAP000267 AGAP000267 changed
AGAP000268 AGAP000268 changed
AGAP000269 AGAP000269 unchanged
AGAP000270 AGAP000270 changed
AGAP000271 AGAP000271 changed
AGAP000272 AGAP000272 unchanged
AGAP000273 AGAP000273 unchanged
AGAP000274 AGAP000274 changed
AGAP000275 AGAP000275 changed
AGAP000276 NULL deleted
AGAP000277 AGAP000277 changed
AGAP000278 AGAP000278 changed
AGAP000279 AGAP000279 unchanged
AGAP000280 AGAP000280 changed
AGAP000281 AGAP000281 changed
AGAP000282 NULL deleted
AGAP000283 AGAP000283 changed
AGAP000284 AGAP000284 changed
AGAP000285 AGAP000285 changed
AGAP000286 AGAP000286 changed
AGAP000287 AGAP000287 changed
AGAP000288 AGAP000288 changed
AGAP000289 AGAP000289 changed
AGAP000290 AGAP000290 changed
AGAP000291 AGAP000291 changed
AGAP000292 AGAP000292 changed
AGAP000293 AGAP000293 changed
AGAP000294 AGAP000294 changed
AGAP000295 AGAP000295 changed
AGAP000296 AGAP000296 changed
AGAP000297 AGAP000297 changed
AGAP000298 AGAP000298 unchanged
AGAP000299 AGAP000299 unchanged
AGAP000300 AGAP000300 changed
AGAP000301 AGAP000301 changed
AGAP000302 NULL deleted
AGAP000303 AGAP000303 changed
AGAP000304 AGAP000304 changed
AGAP000305 AGAP000305 changed
AGAP000306 AGAP000306 changed
AGAP000307 AGAP000307 changed
AGAP000308 AGAP000308 changed
AGAP000309 AGAP000309 changed
AGAP000310 AGAP000310 changed
AGAP000311 AGAP000311 changed
AGAP000312 AGAP000312 changed
AGAP000313 AGAP000313 changed
AGAP000314 AGAP000314 changed
AGAP000315 AGAP000315 changed
AGAP000315 AGAP000678 changed
AGAP000315 AGAP000941 changed
AGAP000315 AGAP000967 changed
AGAP000315 AGAP000973 changed
AGAP000315 AGAP002549 changed
AGAP000315 AGAP003603 changed
AGAP000315 AGAP007278 changed
AGAP000316 AGAP000316 changed
AGAP000317 AGAP000317 unchanged
AGAP000318 NULL deleted
AGAP000319 AGAP000319 changed
AGAP000320 AGAP000320 changed
AGAP000321 AGAP000321 changed
AGAP000322 AGAP000322 changed
AGAP000323 AGAP000323 changed
AGAP000324 AGAP000324 changed
AGAP000325 AGAP000325 changed
AGAP000326 AGAP000326 changed
AGAP000327 AGAP000327 changed
AGAP000328 AGAP000328 changed
AGAP000329 AGAP000329 unchanged
AGAP000330 AGAP000330 changed
AGAP000331 AGAP000331 changed
AGAP000332 AGAP000332 changed
AGAP000333 NULL deleted
AGAP000334 AGAP000334 changed
AGAP000335 NULL deleted
AGAP000336 AGAP000336 changed
AGAP000337 AGAP000337 changed
AGAP000338 AGAP000338 unchanged
AGAP000339 AGAP000339 changed
AGAP000340 AGAP000340 changed
AGAP000341 AGAP000341 unchanged
AGAP000342 AGAP000342 changed
AGAP000343 AGAP000343 changed
AGAP000344 AGAP000344 changed
AGAP000345 AGAP000345 changed
AGAP000346 AGAP000346 changed
AGAP000347 AGAP000347 changed
AGAP000348 AGAP000348 changed
AGAP000349 AGAP000349 changed
AGAP000350 NULL deleted
AGAP000351 AGAP000351 changed
AGAP000352 AGAP000352 changed
AGAP000353 NULL deleted
AGAP000354 AGAP000354 changed
AGAP000355 AGAP000355 changed
AGAP000356 AGAP000356 changed
AGAP000357 AGAP000357 changed
AGAP000358 AGAP000358 changed
AGAP000359 AGAP000359 unchanged
AGAP000360 AGAP000360 changed
AGAP000361 AGAP000361 changed
AGAP000362 NULL deleted
AGAP000363 AGAP000363 changed
AGAP000364 AGAP000364 changed
AGAP000365 AGAP000365 changed
AGAP000366 AGAP000366 unchanged
AGAP000367 AGAP000367 changed
AGAP000368 AGAP000368 changed
AGAP000369 AGAP000369 unchanged
AGAP000370 NULL deleted
AGAP000371 NULL deleted
