Column Headdings:
hap_scaff = Name of haplotype scaffold.
hs_start & hs_end  = Region of haplotype scaffold that was aligned (in most cases, this is the entire scaffold).
hr_scaff = Name of chromosomal scaffold to which the haplotype scaffold aligns.
cs_start & cs_end =  Region of chromosomal scaffold to which the haplotype scaffold aligns.
ori_on_cs = Orientation of haplotype scaffold relative to chromosomal scaffold.
chr  =  Name of chromosome to which the haplotype scaffold aligns.
chr_start & chr_end = Region of chromosome to which the haplotype scaffold aligns.
ori_on_chr = Orientation of haplotype scaffold relative to chromosome.

#hap_scaff	hs_start	hs_end	chr_scaff	cs_start	cs_end	ori_on_cs	chr	chr_start	chr_end	ori_on_chr
AAAB01000047	3	21505	AAAB01008880	594114	615952	-1	2R	50187170	50209008	-1
AAAB01000163	1	28420	AAAB01008987	1212996	1238040	-1	2R	14984558	15009602	1
AAAB01000448	1	22809	AAAB01008987	8904575	8927396	1	2R	7295202	7318023	-1
AAAB01000791	1	62303	AAAB01008966	2570602	2620444	-1	3L	23114864	23164706	1
AAAB01000813	1	74087	AAAB01008807	4368203	4443384	1	2L	44920942	44996123	-1
AAAB01000889	1	171618	AAAB01008986	5763138	5945412	-1	3L	36018024	36200298	1
AAAB01000995	1	75498	AAAB01008966	1702746	1782523	-1	3L	23952785	24032562	1
AAAB01001048	1	27234	AAAB01008986	1374860	1402980	1	3L	40560456	40588576	-1
AAAB01001056	1	69061	AAAB01008986	2904823	2973690	1	3L	38989746	39058613	-1
AAAB01001122	1	23949	AAAB01008987	11092013	11118079	1	2R	5104519	5130585	-1
AAAB01001548	1	147037	AAAB01008966	2365292	2556987	-1	3L	23178321	23370016	1
AAAB01001654	1	24119	AAAB01008980	11863217	11888494	1	3R	48008336	48033613	1
AAAB01001687	1	47397	AAAB01008987	5811681	5860331	-1	2R	10362267	10410917	1
AAAB01001960	1	26872	AAAB01008888	2950750	2980052	-1	2R	41929316	41958618	-1
AAAB01002000	1	25156	AAAB01008952	422072	445865	1	2R	58639852	58663645	-1
AAAB01002010	1	26527	AAAB01008816	3980936	4004287	-1	3L	17857511	17880862	1
AAAB01002124	1	52770	AAAB01008794	343058	394100	1	2R	34602908	34653950	1
AAAB01002209	1	70717	AAAB01008879	403776	476257	-1	2R	31947365	32019846	-1
AAAB01002438	1	20802	AAAB01008898	3423780	3446777	-1	2R	57260477	57283474	-1
AAAB01002725	1	30046	AAAB01008987	5777288	5807355	-1	2R	10415243	10445310	1
AAAB01002859	1	18847	AAAB01008816	5530744	5550295	1	3L	16311503	16331054	-1
AAAB01002965	1	18183	AAAB01008987	5744724	5765097	1	2R	10457501	10477874	-1
AAAB01003040	1	21078	AAAB01008880	453298	473646	1	2R	50046354	50066702	1
AAAB01003176	1	28928	AAAB01008839	1994213	2027030	1	3R	34232793	34265610	-1
AAAB01003214	1	15761	AAAB01008980	10357453	10371816	-1	3R	46502572	46516935	-1
AAAB01003746	1	39691	AAAB01008980	8685139	8723282	1	3R	44830258	44868401	1
AAAB01003776	1	30352	AAAB01008820	355606	386833	-1	2R	38688173	38719400	1
AAAB01003846	1	44509	AAAB01008805	462783	506065	1	2R	45631717	45674999	1
AAAB01003945	1	25653	AAAB01008987	3473281	3498261	1	2R	12724337	12749317	-1
AAAB01004174	1	26646	AAAB01008879	1772552	1800163	1	2R	33316141	33343752	1
AAAB01004182	140	40084	AAAB01008986	3143313	3185366	1	3L	38778070	38820123	-1
AAAB01004310	1	21269	AAAB01008879	537953	559459	-1	2R	32081542	32103048	-1
AAAB01004737	1	36366	AAAB01008987	2195174	2229103	-1	2R	13993495	14027424	1
AAAB01004940	1	23910	AAAB01008987	6612429	6636410	1	2R	9586188	9610169	-1
AAAB01004946	1	20831	AAAB01008888	2493847	2514624	1	2R	41472413	41493190	1
AAAB01005038	1	45476	AAAB01008986	5001432	5047228	1	3L	36916208	36962004	-1
AAAB01005199	1	27743	AAAB01008948	222234	254400	-1	2L	5301195	5333361	-1
AAAB01005264	1	23254	AAAB01008980	14619439	14637189	-1	3R	50764558	50782308	-1
AAAB01005725	1	23113	AAAB01008987	5894294	5918498	1	2R	10304100	10328304	-1
AAAB01006018	1	50543	AAAB01008966	2150516	2219252	-1	3L	23516056	23584792	1
AAAB01006019	406	28531	AAAB01008835	582863	619699	1	3R	31748711	31785547	1
AAAB01006111	1	27924	AAAB01008980	12328550	12355599	1	3R	48473669	48500718	1
AAAB01006141	1	30987	AAAB01008980	14038424	14064996	1	3R	50183543	50210115	1
